Volume (mL),Carrier Gas,Flow Rate (SLM),Reaction Time (s),Temperature (C),HVF (C),Particle size (mm),Inert particle,Inert particle size (mm),Feed rate (g/min),Steam feeding rate (ml/min),Solid residence time(min),Moisture,Volatile Matter,Ash,C,H,N,O,S,HHV (MJ/kg),water,Oil,Char,Gas,basis,AA,Guiacols,Catechols,Phenols,Ketones,Furans,Aldehydes,Alcohols,Esters,Ethers,Aromatic Hydrocarbon,THBs,Sugars,Stilbenes,Acids,Oxygenated,Nitrogenated Compounds,Volatile compounds,Diethylethr-solubles,Water,Diethylether-insolubles,Water-insolubles,Others
40,N2,13,0.184615385,400,-,0.42,glass beads,0.325,1,-,-,11.5,--,0.309,45.1,6.8,0.5,48.1,-,18.07,0,52,19,29,wet,11.98,10.97,0.98,0.03,-,-,-,0,-,-,-,4.48,18.01,3.45,4.66,-,-,-,-,-,-,-,-
40,N2,13,0.184615385,500,-,0.42,glass beads,0.325,1,-,-,11.5,--,0.309,45.1,6.8,0.5,48.1,-,18.07,0,56,12,32,wet,13.9,11.77,2.09,0.04,-,-,-,-,-,-,-,3.08,16.41,3.6,4.64,-,-,-,-,-,-,-,-
40,N2,13,0.184615385,600,-,0.42,glass beads,0.325,1,-,-,11.5,--,0.309,45.1,6.8,0.5,48.1,-,18.07,0,37,7,56,wet,15.71,1.85,13.71,0.15,-,-,-,-,-,-,-,2.68,28.26,1.88,3.93,-,-,-,-,-,-,-,-
40,N2,13,0.184615385,500,-,0.42,glass beads,0.325,2.5,-,-,11.5,--,0.309,45.1,6.8,0.5,48.1,-,18.07,0,66,15,19,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,N2,13,0.184615385,500,-,0.42,glass beads,0.325,3,-,-,11.5,--,0.309,45.1,6.8,0.5,48.1,-,18.07,0,65,16,19,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,N2,13,0.184615385,500,-,0.42,glass beads,0.325,0.9,-,-,11.5,--,0.309,45.1,6.8,0.5,48.1,-,18.07,0,64,12,24,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5500,N2,75,4.4,500,-,0.3,silica sand,0.375,50,-,-,7.84,73.52,1.88,47.21,6.25,0.05,44.4,0.21,19.41,0,62.4,19.4,18.2,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5500,N2,75,4.4,500,350,0.3,silica sand,0.375,50,-,-,7.84,73.52,1.88,47.21,6.25,0.05,44.4,0.21,19.41,0,52.8,25.3,21.9,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5500,N2,75,4.4,500,400,0.3,silica sand,0.375,50,-,-,7.84,73.52,1.88,47.21,6.25,0.05,44.4,0.21,19.41,0,58.7,22.1,19.2,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5500,N2,75,4.4,500,450,0.3,silica sand,0.375,50,-,-,7.84,73.52,1.88,47.21,6.25,0.05,44.4,0.21,19.41,0,53.5,20.8,25.7,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5500,N2,75,4.4,500,500,0.3,silica sand,0.375,50,-,-,7.84,73.52,1.88,47.21,6.25,0.05,44.4,0.21,19.41,0,52.1,21.2,26.7,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,3,30.2,400,-,0.7,emery ,0.04,2.5,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,0.4,51.1,27.8,20.7,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,3,30.2,450,-,0.7,emery ,0.04,2.5,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,0.2,52.2,21.9,25.7,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,3,30.2,500,-,0.7,emery ,0.04,2.5,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,0.1,45.5,17.8,36.6,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,3,30.2,550,-,0.7,emery ,0.04,2.5,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-0.9,43,14.9,43,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,2.5,36.24,400,-,0.3,emery ,0.04,3,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-0.5,46.5,23.3,30.7,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,2.5,36.24,400,-,0.7,emery ,0.04,3,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-1.2,52.5,22.4,26.3,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,2,45.3,400,-,1,emery ,0.04,2.5,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-1.6,51.6,23.8,26.2,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,4,22.65,400,-,0.7,emery ,0.04,1.7,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-0.3,49,20.1,31.2,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,3,30.2,400,-,0.7,emery ,0.04,2.5,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-0.3,52.6,21.9,25.8,wet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1510,N2,3,30.2,400,-,0.7,emery ,0.04,3.8,-,-,7.6,92.2,0.2,44.8,5.9,0.1,46.2,-,-,-0.6,55.5,20.5,24.6,wet,10.9,0,0,10.9,-,-,3.1,15.6,-,-,3.5,-,1.5,-,-,-,-,-,-,-,-,-,-
40,N2,6,0.4,500,-,1.5,sand,0.325,1,-,-,7.5,-,0.1,45.1,6.8,0,48.1,-,-,2,28,12,58,wet,2.768752,0,2.604084,0.164668,0.119448,0.061796,-,0.138404,-,-,1.123444,-,-,-,0.272468,-,-,-,-,-,-,-,0.00000504
-,N2,27,0.87,525,-,0.75,-,-,16.67,-,-,0,0,0,51.2,6.3,0.1,42.4,-,-,0,67,12,21,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,4.958,-,-,6.365,8.911,14.137,16.147,16.482,-
1910,N2,20,5.73,475,-,0.725,-,-,2.5,-,-,7.6,92.2,0.2,47.8,5.9,0.1,46.2,-,-,-0.1,60.3,20,19.8,wet,27.0144,0,0,27.0144,-,5.6079,2.0502,-,-,0.7236,1.3869,-,5.7888,-,1.1457,-,-,-,-,-,-,-,-
1910,N2,20,5.73,525,-,0.725,-,-,2.5,-,-,7.6,92.2,0.2,47.8,5.9,0.1,46.2,-,-,0,51.5,13.2,35.3,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1910,N2,20,5.73,575,-,0.725,-,-,2.5,-,-,7.6,92.2,0.2,47.8,5.9,0.1,46.2,-,-,0,34.8,11,54.2,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1910,N2,20,5.73,625,-,0.725,-,-,2.5,-,-,7.6,92.2,0.2,47.8,5.9,0.1,46.2,-,-,0.1,27.2,9,63.7,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
416.2,N2,50.556,1.6,640,-,0.25,silica sand,0.26,1.6,-,-,5.47,82.94,1.08,51.87,6.49,0.07,40.48,,18.2,0,53.1,7.8,39.1,wet,11.6,0,4.4,7.2,0,2.2,0.1,6.4,0,-,5.6,-,-,-,12.1,-,-,-,-,-,-,-,5.4
416.2,N2,50.556,1.6,685,-,0.25,silica sand,0.26,1.6,-,-,5.47,82.94,1.08,51.87,6.49,0.07,40.48,,18.2,0,31.1,13,55.9,wet,7.4,0,2,5.4,0,0.8,0.1,4.5,0,-,5.4,-,-,-,4.5,-,-,-,-,-,-,-,2.3
416.2,N2,50.556,1.6,730,-,0.25,silica sand,0.26,1.6,-,-,5.47,82.94,1.08,51.87,6.49,0.07,40.48,,18.2,0,27.6,5.1,67.3,wet,6.6,0,1,5.6,0.4,0.7,0.1,1.6,0.1,-,6.7,-,-,-,2,-,-,-,-,-,-,-,4.5
416.2,N2,50.556,1.6,780,-,0.25,silica sand,0.26,1.6,-,-,5.47,82.94,1.08,51.87,6.49,0.07,40.48,,18.2,0,21.2,8.9,69.9,wet,4.7,0,0.4,4.3,0.1,0.4,0,0.2,0,-,8.8,-,-,-,1,-,-,-,-,-,-,-,1.9
416.2,N2,50.556,1.6,850,-,0.25,silica sand,0.26,1.6,-,-,5.47,82.94,1.08,51.87,6.49,0.07,40.48,,18.2,0,15.2,6.5,78.3,wet,1.6,0,0,1.6,0.2,0.2,0,0,0,-,7.8,-,-,-,0.3,-,-,-,-,-,-,-,1.6
7700,N2,60,7.7,500,-,0.35,-,-,50,-,-,7.84,73.52,1.88,47.21,6.25,0.05,44.4,0.21,19.41,0,59,18,23,,20.1,0,0,20.1,9.5,5.18,3.7,2.67,2.19,-,2.37,-,0.94,-,4.16,-,-,-,-,-,-,-,-
14815.75,N2,60,14.81575,490,-,0.335,-,-,-,-,-,9.1,84.1,0.7,48.28,7.31,0.25,43.41,0.23,19.48,0,61,21,18,,-,0,0,0,-,-,-,-,9.09,-,-,-,-,-,10.44,-,-,-,-,-,-,-,-
7700,N2,60,7.7,420,-,0.344,-,-,115,-,-,9.06,71.9,7.36,53.5,6.4,0.2,40.2,-,15.21,0,58,30,12,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7700,N2,60,7.7,450,-,0.344,-,-,115,-,-,9.06,71.9,7.36,53.5,6.4,0.2,40.2,-,15.21,0,61,25,14,wet,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7700,N2,60,7.7,480,-,0.344,-,-,115,-,-,9.06,71.9,7.36,53.5,6.4,0.2,40.2,-,15.21,55,6,21,18,dry,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7700,N2,60,7.7,510,-,0.344,-,-,115,-,-,9.06,71.9,7.36,53.5,6.4,0.2,40.2,-,15.21,0,59,18,23,wet,7.41,0,0,7.41,3.63,-,1.03,-,-,-,-,-,-,-,8.1,-,-,-,-,-,-,-,
7700,N2,60,7.7,540,-,0.344,-,-,115,-,-,9.06,71.9,7.36,53.5,6.4,0.2,40.2,-,15.21,0,54,16,30,wet,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,N2,9,-,540,-,1,-,-,1.67,-,-,5.24,94.7,0.89,48.18,5.61,0.07,49.74,0,-,-3.01,47.78,9.68,45.55,wet,12.967492,10.334814,0,2.632678,4.859226,3.134368,6.818206,0.683254,4.92134,-,-,-,2.928914,-,1.987648,-,-,-,-,-,-,-,10.0338
5500,N2,75,4.4,550,-,0.55,silica sand,0.375,33.3,-,-,6.59,72.83,5.92,46.35,6.96,0.06,45.84,0.79,16.04,0,45.3,22.8,31.9,wet,16.43484,0,0,16.43484,4.86069,6.03396,2.90826,2.2197,0.81993,0.91506,0.1812,-,-,-,5.1189,-,1.51755,-,-,-,-,-,5.74
